Duckling ID,Pair ID,Nest ID,Incubation Temperature (°C),Sex,Lay Day of Year,Age (hours),Tarsus length (mm),Hatch Mass (g),First in Pair to Exit?,Latency to Move (s),Latency to Jump (s),Latency to Climb (s),Latency to Call (s),Latency to Exit (s),Exited? ,Number of jumps per minute Before first duck exited,Number of climbs per minute Before first duck exited,Number of jumps per minute After first duck exited,Number of climbs per minute After first duck exited,Total number of jumps per minute,Total number of climbs per minute
N4-7,62,N4,35.0,M,75,18.03,20.73,32.62,Y,52,64,64,1800,1800,N,0.1667,0.0000,NA,NA,0.1667,0.0000
N4-8,57,N4,36.0,F,76,10.13,20.86,31.11,N,1,1507,1800,1800,1800,N,0.0333,0.0000,NA,NA,0.0333,0.0000
O2-3,27,O2,35.0,F,67,12.48,20.33,28.23,N,93,426,429,192,1058,Y,0.4449,0.1271,3.1579,1.5789,0.7372,0.2836
O2-4,36,O2,36.0,M,68,15.40,20.30,29.87,N,1800,1800,1800,1800,1800,N,0.0000,0.0000,NA,NA,0.0000,0.0000
O2-5,32,O2,35.0,M,68,18.43,19.41,25.13,N,16,302,1800,59,1800,N,0.0000,0.0000,0.0664,0.0000,3.4667,0.0000
O2-8,45,O2,35.0,M,71,12.88,19.25,27.73,N,1449,491,1800,1488,1800,N,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
O3-1,40,O3,35.0,M,69,18.62,20.20,29.37,Y,122,725,1800,199,1800,N,0.4000,0.0000,NA,NA,0.4000,0.0000
O3-2,32,O3,36.0,F,70,14.00,19.85,29.15,Y,25,179,229,188,233,Y,3.6052,0.2575,NA,NA,3.6052,0.2575
O3-3,53,O3,36.0,F,71,10.13,19.22,25.54,N,10,218,237,545,659,Y,3.3625,1.4711,3.4091,1.3636,3.3687,1.4568
O3-4,44,O3,35.0,M,71,12.17,18.65,27.52,Y,80,87,396,75,863,Y,7.4392,0.4171,NA,NA,7.4392,0.4171
O3-7,64,O3,35.0,M,73,14.93,21.15,28.75,N,710,1800,1800,1800,1800,N,0.0000,0.0000,NA,NA,0.0000,0.0000
O3-9,52,O3,36.0,M,74,14.98,18.85,26.89,N,61,122,273,66,1800,N,0.6333,0.2000,NA,NA,0.6333,0.2000
O4-12,46,O4,36.0,M,70,12.90,20.08,34.85,Y,16,16,16,10,126,Y,2.3810,1.4286,NA,NA,2.3810,1.4286
O4-16,43,O4,36.0,F,73,12.63,18.76,25.85,Y,51,60,337,34,381,Y,13.7008,0.4724,NA,NA,13.7008,0.4724
O4-17,62,O4,36.0,M,74,16.85,20.63,28.66,N,1800,1800,1800,7,1800,N,0.0000,0.0000,NA,NA,0.0000,0.0000
