,Vmax WR,Ftotmax WR,Mz WR,Pmax WR,PT WR,CT WR,Ror WR,,,,Vmax WOR,Ftotmax WOR,Mz WOR,Pmax WOR,PT WOR,CT WOR,Ror WOR
P10,3.019272908,250.018216,36.01969931,367.3975785,0.1875,0.504166667,861.7395598,,,P12,3.177653241,261.7467485,43.0545072,450.745785,0.179166667,0.445833333,4840.946686
P10,3.046034381,241.5889686,40.20707388,370.1674578,0.208333333,0.5375,939.3213064,,,P12,3.395005757,165.9519063,41.55933521,433.1803828,0.191666667,0.441666667,2912.617441
P10,3.009402595,230.220905,34.38764199,330.4254257,0.195833333,0.566666667,1181.416665,,,P12,3.26733796,297.8164361,36.87693016,401.4307025,0.183333333,0.4625,5794.8616
P11,3.088791049,132.7812685,27.1282526,224.6422305,0.208333333,0.425,1837.570017,,,P12,3.429874987,200.1827342,33.00925689,357.1110618,0.166666667,0.445833333,3977.556136
P11,3.078744481,92.84284718,30.90392351,286.2338906,0.2,0.420833333,1422.313047,,,P12,3.555809605,123.3069393,37.03238664,425.712182,0.191666667,0.45,1825.556141
P11,3.252297483,213.150302,38.55000146,399.1795563,0.2,0.45,1214.122022,,,P12,3.683873978,153.108537,27.04218664,318.9385244,0.170833333,0.4,2228.633755
P11,3.336723909,83.6756183,27.4015149,286.0178343,0.179166667,0.4375,1267.17285,,,P12,3.678997573,96.29152695,24.33973868,291.0205789,0.166666667,0.3875,1427.804067
P11,3.321933128,154.2349663,16.99564526,158.9181572,0.166666667,0.504166667,2524.052449,,,P13,3.028041623,231.8545011,39.44270694,352.3439694,0.229166667,0.425,3285.357128
P11,3.58183668,98.16297701,29.51925779,353.9006893,0.141666667,0.420833333,695.0501911,,,P13,3.06863916,294.908036,43.09895635,401.4327119,0.216666667,0.4125,4965.824801
P11,3.203357181,55.87392112,10.60194115,117.2065433,0.1125,0.4375,840.6596699,,,P13,3.133442465,323.1521283,47.68862637,407.6339572,0.191666667,0.395833333,5405.730053
P11,3.727776307,89.81109785,22.47623931,246.4250996,0.179166667,0.4375,1117.587996,,,P13,3.465860503,225.2570644,46.73715356,468.2199408,0.183333333,0.395833333,3803.368806
P11,3.568500007,124.3494831,20.31555202,198.6708119,0.183333333,0.45,1175.388884,,,P13,3.445473607,220.5441664,39.24359324,413.3062785,0.195833333,0.4125,3151.869993
P13,2.205838682,350.014589,36.05708736,196.851102,0.220833333,0.416666667,4530.568317,,,P13,3.763188992,271.6445829,50.99108792,546.7484997,0.2,0.408333333,4033.017486
P13,2.520543034,280.182572,46.87467759,312.923175,0.229166667,0.429166667,1761.059153,,,P13,3.679908227,235.0155429,43.08713621,456.9416295,0.183333333,0.4125,2867.381553
P13,2.638355206,314.88831,42.60888171,287.786478,0.220833333,0.425,1890.072527,,,P13,3.44927779,248.3982911,45.89752401,534.4810948,0.170833333,0.420833333,3887.672181
P13,2.687750835,317.2959,41.51566197,302.416121,0.204166667,0.4125,3829.540711,,,,,,,,,,
